# v2

a c[a]sa
ə cas[a]
b can[v]i
β ca[v]a
k [c]asa
d heràl[d]ic
ð ca[d]a
e p[e]ça
ɛ tel[è]fon
f [f]usta
g pin[g]üí
ɣ pe[g]a
i un[i]tat
j a[i]gua
l [l]íquid
ʎ [ll]una
m llu[m]
n llu[n]a
ɲ lle[ny]a
ŋ pi[n]güí
o d[o]s
ɔ al·l[ò]fon
p [p]es
r ca[rr]o
ɾ ca[r]a
s [s]ac
t car[t]a
ts po[ts]er
u [u]nitat
w a[u]la
z [z]ona
ʃ [x]oc
tʃ co[tx]e
ʒ [j]oc
dz do[tz]e
dʒ pla[tj]a
















