a c[a]sa
ə cas[a]
e p[e]ça
ɛ tel[è]fon
i un[i]tat
o d[o]s
ɔ al·l[ò]fon
u [u]nitat
j a[i]gua
w a[u]la
b can[v]i
p [p]es
d heràl[d]ic
f [f]usta
t car[t]a
g pin[g]üí
k [c]asa
s [s]ac
z [z]ona
ʃ [x]oc
ʒ [j]oc
β ca[v]a
ð ca[d]a
ɣ pe[g]a
ɾ ca[r]a
r ca[rr]o
l [l]íquid
ʎ [ll]una
m llu[m]
n llu[n]a
ɲ lle[ny]a
ŋ pi[n]güí
ts po[ts]er
dz do[tz]e
tʃ co[tx]e
dʒ pla[tj]a
